ab	PREP	с, начина́я с			+dat	
abbiegen	VB	повора́чивать, свора́чивать	intr		irreg	
Abbildung	N	изображе́ние nt, рису́нок m		f		<-, -en>
Abenteuer	N	приключе́ние nt		nt		<-s, ->
aber	CONJ	но, а				
abfahren	VB	отправля́ться, уезжа́ть	intr		irreg	
Abfahrt	N	отправле́ние nt		f		<-, -en>
Abfall	N	отбро́сы m pl, отхо́ды m pl, му́сор m		m		<-(e)s, Abfälle>
Abfalleimer	N	му́сорное ведро́ nt		m		<-s, ->
abgeben	VB	отдава́ть	trans		irreg	
abhängig	ADJ	зави́симый				
abheben	VB	поднима́ть	trans		irreg	
abholen	VB	забира́ть	trans		perf	
abschreiben	VB	перепи́сывать	trans		irreg	
Abitur	N	экза́мены  m  pl  на аттеста́т зре́лости		nt	pl:	<-s, -e>
ablehnen	VB	отклоня́ть	trans		perf	
abmachen	VB		trans		perf	
abnehmen	VB	снима́ть, снять perf	trans		irreg	
abonnieren	VB	выпи́сывать, вы́писать perf	trans		ohne ge-	
Abonnement	N	подпи́ска f		nt		-s, -s  [oder      CH -e]
absagen	VB	отка́зывать	trans		perf	
Abschluss	N	коне́ц m, оконча́ние nt		m		<-es, Abschlüsse>
Abschnitt	N	уча́сток m, разде́л m, глава́ f		m		<-(e)s, -e>
absolut	ADJ	абсолю́тный, безусло́вный				
abstimmen	VB	подбира́ть	trans		perf	
Abteilung	N	отделе́ние nt, отде́л m, слу́жба f		f		<-, -en>
abwärts	ADV	вниз				
abwaschen	VB	мыть, вы́мыть perf	trans		irreg	
abwesend	ADJ	отсу́тствующий				
Achtung	N	внима́ние nt		f		<->
Adresse	N	а́дрес m		f		<-, -n>
ähnlich	ADJ	похо́жий				
Ahnung	N	предчу́вствие nt, представле́ние nt		f		<-, -en>
Aktion	N	а́кция f, де́йствие nt, кампа́ния f		f		<-, -en>
aktiv	ADJ	акти́вный				
Aktivität	N	акти́вность f		f		<-, -en>
aktuell	ADJ	актуа́льный				
akzeptieren	VB	признава́ть, соглаша́ться	trans		perf	
Alarm	N	трево́га f, сигна́л m		m		<-(e)s, -e>
Alkohol	N	алкого́ль m		m		<-s, -e>
allein	ADJ	оди́н				
allerdings	ADV	одна́ко, пра́вда				
allgemein	ADJ	о́бщий				
Alltag	N	бу́дний день m, бу́дни pl		m		<-(e)s>
alltäglich	ADJ	ежедне́вный				
Alphabet	N	алфави́т m		nt		<-(e)s, -e>
als	CONJ	когда́				
also	CONJ	сле́довательно			folglich	
alt	ADJ	ста́рый, пожило́й				
Alter	N	во́зраст m		nt		<->
alternativ	ADJ	альтернати́вный		f		
Alternative	N	альтернати́ва f		f		<-, -n>
Ampel	N	светофо́р m		f		<-, -n>
Amt	N	до́лжность f, ме́сто nt		nt		<-(e)s, Ämter>
Amt	N	ве́домство nt				
an	PREP	у, о́коло, в			+ dat	
analysieren	VB	анализи́ровать (н)perf, про- perf	trans		(н)perf	
anbieten	VB	предлага́ть	trans		irreg	
Anbieter	N	офере́нт m, продаве́ц m		m		<-s, ->
Angebot	N	офе́рта f		nt		<-(e)s, -e>
ändern	VB	изменя́ть	trans		perf	
anders	ADV					
anerkennen	VB	призна́ть perf	trans		irreg	
anfangen	VB	начина́ть, нача́ть perf	intr		irreg	
Anfang	N	нача́ло nt		m		<-(e)s, Anfänge>
anfangs	ADV	снача́ла				
angeben	VB	сообща́ть	trans		irreg	
angenehm	ADJ	прия́тный				
Angst	N	страх m		f		<-, Ängste>
ängstlich	ADJ	боязли́вый				
anhaben	VB	носи́ть imperf	trans		irreg	
ankommen	VB	прибыва́ть	intr		irreg	
Ankunft	N	прибы́тие nt		f		<-, Ankünfte>
ankündigen	VB	объявля́ть	trans		perf	
Anlage	N	сооруже́ние nt		f		<-, -n>
Anleitung	N	указа́ние nt, руково́дство nt		f		<-, -en>
Anmeldung	N	пропи́ска f, регистрату́ра f		f		<-, -en>
annehmen	VB	принима́ть	trans		irreg	
Annonce	N	ано́нс m, объявле́ние nt		f		<-, -n>
Anrede	N	обраще́ние nt		f		<-, -n>
anrufen	VB	звони́ть, по- perf	trans		irreg	
Anruf	N	звоно́к m, о́клик m		m		<-(e)s, -e>
Anrufbeantworter	N	автоотве́тчик m		m		<-s, ->
Ansage	N	объявле́ние nt		f		<-, -n>
anschaffen	VB	приобрета́ть	trans		perf	
anschließen	VB	запира́ть	trans		irreg	
Anschluss	N	присоедине́ние nt, подключе́ние nt		m		<-es, Anschlüsse>
anschnallen	VB	пристёгиваться	refl		perf	
ansehen	VB	смотре́ть, по- perf, осма́тривать	trans		irreg	
ansprechen	VB	загова́ривать	trans		irreg	
Anspruch	N	притяза́ние nt, тре́бование nt		m		<-(e)s, Ansprüche>
anstellen	VB	включа́ть	trans		perf	
anstrengend	ADJ	напряжённый, утоми́тельный				
Antrag	N	предложе́ние nt, заявле́ние nt, хода́тайство nt		m		<-(e)s, Anträge>
anwenden	VB	применя́ть	trans		perf	
anwesend	ADJ	прису́тствующий				
Antwort	N	отве́т m		f		<-, -en>
Anwalt	N	адвока́т m		m		<-s, Anwälte>
anzeigen	VB	официа́льно сообща́ть	trans		perf	
Anzeige	N	индика́ция f		f		<-, -n>
Anzug	N	костю́м m		m		<-(e)s, Anzüge>
Apartment	N	кварти́ра f, аппартаме́нты m pl		nt		<-s, -s>
Apfel	N	я́блоко nt		m		<-s, Äpfel>
Apotheke	N	апте́ка f		f		<-, -n>
Apparat	N	прибо́р m		m		<-(e)s, -e>
Appetit	N	аппети́т m		m	ohne pl	<-(e)s, ohne pl  >
Aprikose	N	абрико́с m		f		<-, -n>
arbeiten	VB	рабо́тать imperf	intr		imperf	
arbeitslos	ADJ	безрабо́тный				
Arbeitslosigkeit	N	безрабо́тица f		f		<->
Ärger	N	гнев m, злость f		m		<-s>
ärgerlich	ADJ	серди́тый, неприя́тный				
arm	ADJ	бе́дный, бе́дный, несча́стный				
Arm	N	рука́ f		m		<-(e)s, -e>
Art	N	спо́соб m, мане́ра f		f		<-, -en>
Artikel	N	статья́ f, това́р m, арти́кул m		m		<-s, ->
Arzt	N	врач m и f		m		<-es, Ärzte>
Asyl	N	убе́жище nt		nt		<-s, -e>
atmen	VB	дыша́ть imperf	intr		imperf	
Atem	N	дыха́ние nt		m		<-s>
auch	ADV	та́кже, то́же, и				
auf	PREP	на, в, по			lok + dat	
Aufenthalt	N	пребыва́ние nt		m		<-(e)s, -e>
auffallen	VB	броса́ться, бро́ситься perf	intr		irreg	
auffallen	VB	броса́ться в глаза́, обраща́ть на себя внима́ние				
auffordern	VB	приглаша́ть	trans		perf	
Aufforderung	N	тре́бование nt		f		<-, -en>
aufführen	VB	пока́зывать	trans		perf	
Aufgabe	N	зада́ча f, прекраще́ние nt		f		<-, -n>
aufgeben	VB	отка́зываться	trans		irreg	
aufhalten	VB	держа́ть  imperf  откры́тым, приде́рживать	trans		irreg	
aufheben	VB	поднима́ть	trans		irreg	
aufheben	VB					
aufhören	VB	перестава́ть	intr		perf	
aufladen	VB	нагружа́ть	trans		irreg	
auflösen	VB	растворя́ть	trans		perf	
aufmerksam	ADJ	внима́тельный				
aufnehmen	VB	получа́ть	trans		irreg	
aufnehmen	VB					
aufnehmen	VB					
Aufnahme	N	получе́ние nt		f		<-, -n>
aufpassen	VB	присма́тривать	intr		perf	
aufräumen	VB	убира́ть, убра́ть perf	trans		perf	
aufregen	VB	волнова́ться, взволнова́ться perf	refl		perf	
aufstehen	VB	поднима́ться	intr		irreg	
Auftrag	N	поруче́ние nt		m		<-(e)s, Aufträge>
auftreten	VB	ступа́ть	intr		irreg	
