backen печь bäckt buk gebacken backe
befehlen приказывать befiehlt befahl befohlen befiehl
beginnen начинать beginnt begann begonnen beginn(e)
beißen кусать beißt biss gebissen beiß(e)
bergen спасать birgt barg geborgen birg
bersten трескаться birst barst geborsten birst
betrügen обманывать betrügt betrog betrogen betrüg(e)
bewegen двигать bewegt bewog bewogen beweg(e)
biegen гнуть biegt bog gebogen bieg(e)
bieten предлагать bietet bot geboten biet(e)
binden связывать bindet band gebunden bind(e)
bitten просить bittet bat gebeten bitte
blasen дуть bläst blies geblasen blas(e)
bleiben оставаться bleibt blieb geblichen bleib(e)
bleichen белить bleicht blich geblichen bleich(e)
braten жарить brät briet gebraten brat(e)
brechen ломать bricht brach gebrochen brich
brennen гореть brennt brannte gebrannt brenne
bringen приносить bringt brachte gebracht bring(e)
denken думать denkt dachte gedacht denk(e)
dreschen молотить drischt drosch gedroschen drisch
dringen настаивать dringt drang gedrungen dring(e)
dürfen сметь darf durfte gedurft 
empfangen получать empfängt empfing empfangen empfang(e)
empfehlen советовать empfiehlt empfahl empfohlen empfiehl
empfinden ощущать empfindet empfand empfunden empfind(e)
erlöschen гаснуть erlischt erlosch erloschen erlisch
erschrecken пугать erschrickt erschrak erschrocken erschrick
essen есть, кушать ißt aß gegessen iß
fahren ехать fährt fuhr gefahren fahr(e)
fallen падать fällt fiel gefallen fall(e)
fangen ловить fängt fing gefangen fang(e)
fechten сражаться ficht focht gefochten ficht
finden находить findet fand gefunden find(e)
flechten плести flicht flocht geflochten flicht
fliegen летать fliegt flog geflogen flieg(e)
fliehen убегать flieht floh geflohen flieh(e)
fließen течь fließt floß geflossen fließ(e)
freßen пожирать frißt fraß gefressen friß
frieren замораживать friert fror gefroren frier(e)
gebären рождать gebiert gebar geboren gebier
geben давать gibt gab gegeben gib
gedeihen процветать gedeiht gedieh gediehen gedeih(e)
gehen идти geht ging gegangen geh(e)
gelingen удаваться gelingt gelang gelungen geling(e)
gelten стоить gilt galt gegolten gilt
genesen выздоравливать genest genas genesen genese
genießen наслаждаться genießt genoß genossen genieß(e)
geschehen случаться geschieht geschah geschehen 
gewinnen выигрывать gewinnt gewann gewonnen gewinn(e)
gießen лить gießt goß gegossen gieß(e)
gleichen быть похожим gleicht glich geglichen gleich(e)
gleiten скользить gleitet glitt geglitten gleit(e)
graben копать gräbt grub gegraben grab(e)
greifen хватать greift griff gegriffen greif(e)
haben иметь hat hatte gehabt habe
halten останавливать hält hielt gehalten halt(e)
hängen висеть hängt hing gehangen häng(e)
heben поднимать hebt hob gehoben hebe
heißen назвать heißt hieß geheißen heiß(e)
helfen помогать hilft half geholfen hilf
kennen знать kennt kannte gekannt kenn(e)
klimmen взбираться klimmt klomm geklommen klimm(e)
klingen звучать klingt klang geklungen kling(e)
kneifen щипать kneift kniff gekniffen kneif(e)
kommen приходить kommt kam gekommen komm(e)
können мочь kann konnte gekonnt 
kriechen ползать kriecht kroch gekrochen kriech(e)
finden находить findet fand gefunden find(e)
flechten плести flicht flocht geflochten flicht
fliegen летать fliegt flog geflogen flieg(e)
fliehen убегать flieht floh geflohen flieh(e)
fließen течь fließt floß geflossen fließ(e)
freßen пожирать frißt fraß gefressen friß
frieren замораживать friert fror gefroren frier(e)
gebären рождать gebiert gebar geboren gebier
geben давать gibt gab gegeben gib
gedeihen процветать gedeiht gedieh gediehen gedeih(e)
gehen идти geht ging gegangen geh(e)
gelingen удаваться gelingt gelang gelungen geling(e)
gelten стоить gilt galt gegolten gilt
genesen выздоравливать genest genas genesen genese
genießen наслаждаться genießt genoß genossen genieß(e)
geschehen случаться geschieht geschah geschehen
gewinnen выигрывать gewinnt gewann gewonnen gewinn(e)
gießen лить gießt goß gegossen gieß(e)
gleichen быть похожим gleicht glich geglichen gleich(e)
gleiten скользить gleitet glitt geglitten gleit(e)
graben копать gräbt grub gegraben grab(e)
greifen хватать greift griff gegriffen greif(e)
haben иметь hat hatte gehabt habe
halten останавливать hält hielt gehalten halt(e)
hängen висеть hängt hing gehangen häng(e)
heben поднимать hebt hob gehoben hebe
heißen назвать heißt hieß geheißen heiß(e)
helfen помогать hilft half geholfen hilf
kennen знать kennt kannte gekannt kenn(e)
klimmen взбираться klimmt klomm geklommen klimm(e)
klingen звучать klingt klang geklungen kling(e)
kneifen щипать kneift kniff gekniffen kneif(e)
kommen приходить kommt kam gekommen komm(e)
können мочь kann konnte gekonnt 
kriechen ползать kriecht kroch gekrochen kriech(e)
laden грузить lädt lud geladen lad(e)
lassen позволять laßt ließ gelassen laß(e)
laufen бегать läuft lief gelaufen lauf(e)
leiden терпеть leidet litt gelitten leid(e)
leihen одалживать leiht lieh geliehen leih(e)
lesen читать liest las gelesen lies
liegen лежать liegt lag gelegen lieg(e)
lügen лгать lügt log gelogen lüg(e)
mahlen молоть mahlt mahlte gemahlen mahle
meiden избегать meidet mied gemieden meid(e)
messen мерить mißt maß gemessen miß
mißlingen не удаваться misslingt misslang misslungen 
mögen желать, хотеть mag mochte gemocht 
müssen долженствовать muss musste gemusst 
nehmen брать nimmt nahm genommen nimm
nennen называть nennt nannte genannt nenne
pfeifen свистеть pfeift pfift gepfiffen pfeif(e)
preisen восхвалять preist pries gepriesen preis(e)
quellen вытекать quillt quoll gequollen quill
raten советовать rät riet geraten rat(e)
reiben тереть reibt rieb gerieben reib(e)
reißen рвать reißt riß gerissen reiß
reiten ездить верхом reitet ritt geritten reit(e)
rennen мчаться rennt rannte gerannt renn(e)
riechen нюхать riecht roch gerochen riech(e)
ringen звонить ringt rang gerungen ring(e)
rinnen течь rinnt rann geronnen rinn(e)
rufen кричать ruft rief gerufen ruf(e)
saufen пить (о животных) säuft soff gesoffen sauf(e)
saugen сосать saugt sog gesogen saug(e)
schaffen творить schafft schuf geschaffen schaff(e)
scheiden разделять scheidet schied geschieden scheid(e)
scheinen светить scheint schien geschienen schein(e)
schelten бранить schilt schalt gescholten schilt
schieben двигать schiebt schob geschoben schieb(e)
laden грузить lädt lud geladen lad(e)
lassen позволять laßt ließ gelassen laß(e)
laufen бегать läuft lief gelaufen lauf(e)
leiden терпеть leidet litt gelitten leid(e)
leihen одалживать leiht lieh geliehen leih(e)
lesen читать liest las gelesen lies
liegen лежать liegt lag gelegen lieg(e)
lügen лгать lügt log gelogen lüg(e)
mahlen молоть mahlt mahlte gemahlen mahle
meiden избегать meidet mied gemieden meid(e)
messen мерить mißt maß gemessen miß
mißlingen не удаваться misslingt misslang misslungen 
mögen желать, хотеть mag mochte gemocht 
müssen долженствовать muss musste gemusst 
nehmen брать nimmt nahm genommen nimm
nennen называть nennt nannte genannt nenne
pfeifen свистеть pfeift pfift gepfiffen pfeif(e)
preisen восхвалять preist pries gepriesen preis(e)
quellen вытекать quillt quoll gequollen quill
raten советовать rät riet geraten rat(e)
reiben тереть reibt rieb gerieben reib(e)
reißen рвать reißt riß gerissen reiß
reiten ездить верхом reitet ritt geritten reit(e)
rennen мчаться rennt rannte gerannt renn(e)
riechen нюхать riecht roch gerochen riech(e)
ringen звонить ringt rang gerungen ring(e)
rinnen течь rinnt rann geronnen rinn(e)
rufen кричать ruft rief gerufen ruf(e)
saufen пить (о животных) säuft soff gesoffen sauf(e)
saugen сосать saugt sog gesogen saug(e)
schaffen творить schafft schuf geschaffen schaff(e)
scheiden разделять scheidet schied geschieden scheid(e)
scheinen светить scheint schien geschienen schein(e)
schelten бранить schilt schalt gescholten schilt
schieben двигать schiebt schob geschoben schieb(e)
schießen стрелять schießt schoß geschossen schieß(e)
schinden терзать schindet schund geschunden schind(e)
schlafen спать schläft schlief geschlafen schlaf(e)
schlagen бить schlägt schlug geschlagen schlag(e)
schleichen ползти schleicht schlich geschlichen scheich(e)
schleifen точить schleift schliff geschliffen schleif(e)
schließen закрывать schließt schloß seschlossen schließ(e)
schlingen пожирать schlingt schlang geschlungen schling(e)
schmeißen швырять schmeißt schmiß geschmissen schmeiß(e)
schmelzen плавить schmilzt schmolz geschmolzen schmilz
schneiden резать schneidet schnitt geschnitten schneid(e)
schrecken пугать schrickt schrack erschrocken schrick
schreiben писать schreibt schrieb geschrieben schreib(e)
schreien кричать schreit schrie geschrie(e)n schrei(e)
schreiten шагать schreitet schritt geschritten schreit(e)
schweigen молчать schweigt schwieg geschwiegen schweig(e)
schwellen пухнуть schwilt schwoll geschwollen schwill
schwimmen плавать schwimmt schwamm geschwommen schwimm(e)
schwinden исчезать schwindet schwand geschwunden schwind(e)
schwingen махать schwingt schwang geschwungen schwing(e)
sehen видеть sieht sah gesehen sieh
sein быть ist war gewesen sei
senden посылать sendet sandte gesandt send(e)
singen петь singt sang gesungen sing(e)
sinken погружать sinkt sank gesunken sink
sinnen обдумывать sinnt sann gesonnen sinn(e)
sitzen сидеть sitzt saß gesessen sitz
sollen долженствовать soll sollte gesollt
speien изрыгать speit spie gespieen spei(e)
spinnen прясть spinnt spann gesponnen spin(e)
sprechen говорить spricht sprach gesprochen sprich
springen прыгать springt sprang gesprungen spring(e)
stechen колоть sticht stach gestochen sitich
stehen стоять steht stand gestanden steh(e)
stehlen красть stehlt stahl gestohlen stiehl
schießen стрелять schießt schoß geschossen schieß(e)
schinden терзать schindet schund geschunden schind(e)
schlafen спать schläft schlief geschlafen schlaf(e)
